id;fecha_inicio;fecha_fin;tipo_pago;total
1;2022-02-01T18:04:03;2022-02-01T19:40:18;Pelota Librería;61480
2;2022-02-01T18:20:49;2022-02-01T23:09:56;Rua Morado AGP;90467
3;2022-02-02T11:37:14;2022-02-02T11:56:20;Mesa analista solid;50346
4;2022-02-02T08:28:07;2022-02-02T00:05:39;dot-com Inteligente;82253
5;2022-02-02T06:28:29;2022-02-02T12:24:37;e-markets;46795
6;2022-02-01T16:21:30;2022-02-02T06:57:35;communities Guapo;42447
7;2022-02-01T18:47:40;2022-02-01T22:38:30;COM aggregate Artesanal;12884
8;2022-02-01T18:34:46;2022-02-01T22:49:18;Bedfordshire Fundamental Joyería;78643
9;2022-02-01T17:00:18;2022-02-01T23:38:58;sensor León;42522
10;2022-02-02T12:51:07;2022-02-01T14:48:08;sticky;38901
